id	latitude	longitude	geog__colour	country	year
SRR191363	18.50243	-72.275403	#8c510a	Haiti	2010
SRR191347	18.50243	-72.275403	#8c510a	Haiti	2010
SRR135544	18.50243	-72.275403	#8c510a	Haiti	2010
SRR191349	18.50243	-72.275403	#8c510a	Haiti	2010
SRR191351	18.50243	-72.275403	#8c510a	Haiti	2010
SRR135603	18.624142	-72.187121	#bf812d	Haiti	2010
SRR191343	18.638914	-72.318657	#dfc27d	Haiti	2010
SRR191350	18.638914	-72.318657	#dfc27d	Haiti	2010
SRR135605	18.683306	-72.183841	#f6e8c3	Haiti	2010
SRR135543	18.683306	-72.183841	#f6e8c3	Haiti	2010
SRR190877	18.732907	-72.075042	#c7eae5	Haiti	2010
SRR135621	18.732907	-72.075042	#c7eae5	Haiti	2010
SRR135545	18.844581	-72.432111	#80cdc1	Haiti	2010
SRR190870	19.251229	-72.73198	#35978f	Haiti	2010
SRR191381	19.251229	-72.73198	#35978f	Haiti	2010
SRR135546	19.760184	-72.775404	#01665e	Haiti	2010
ERR018119	28.6139	77.209	Null	India	1993
ERR018185	28.6139	77.209	Null	India	1984
ERR1877636	0.3476	32.5825	Null	Uganda	1992
ERR2008347	19.4326	-99.1332	Null	Mexico	1991
ERR2008756	19.0196	-65.262	Null	Bolivia	1991
ERR976496	19.0196	-65.262	Null	Bolivia	1992
ERR976500	8.8147	13.2302	Null	Angola	1988
ERR576981	6.2088	106.8456	Null	Indonesia	1961
ERR976463	8.9806	38.7578	Null	Ethiopia	1970
Reference	Null	Null	Null	Null	Null
ERR019289	1.2921	36.8219	Null	Kenya	2007
ERR579075	39.9042	116.4074	Null	China	2008
SRR135540	Null	Null	Null	Haiti	2010
SRR135620	Null	Null	Null	Haiti	2010
SRR191380	Null	Null	Null	Haiti	2010
SRR308716	27.7172	85.324	Null	Nepal	2010
ERR025362	21.0278	105.8342	Null	Viet Nam	2004
ERR163243	19.4326	-99.1332	Null	Mexico	1995
ERR2008399	19.4326	-99.1332	Null	Mexico	1995
ERR2008413	19.4326	-99.1332	Null	Mexico	1998
ERR2008430	19.4326	-99.1332	Null	Mexico	1998
ERR2008419	19.4326	-99.1332	Null	Mexico	1997
ERR2008342	19.4326	-99.1332	Null	Mexico	1991
ERR1879431	44.4268	26.1025	Null	Romania	1987